role,variant,K,threshold,n,strict_correct,reverse,model_tie,unavailable,strict_accuracy,eligible_bidirectional_pairs,both_directions_correct,preferred@1,queries,triggered_queries,triggered_fraction,judged_candidates,mean_judged,requested_candidates,mean_requested,missing_judge_candidates,fallback_queries,changed_queries
confirmation,always_call,1,,371,189,179,3,0,0.5094339622641509,185,16,0.3665768194070081,374,374,1.0,374,1.0,374,1.0,0,0,0
confirmation,always_call,2,,371,238,130,3,0,0.6415094339622641,185,59,0.5525606469002695,374,374,1.0,748,2.0,748,2.0,0,0,107
confirmation,always_call,3,,371,303,65,3,0,0.816711590296496,185,124,0.633423180592992,374,374,1.0,1122,3.0,1122,3.0,0,0,189
confirmation,always_call,4,,371,304,64,3,0,0.8194070080862533,185,125,0.6307277628032345,374,374,1.0,1496,4.0,1496,4.0,0,0,247
confirmation,always_call,5,,371,306,62,3,0,0.8247978436657682,185,126,0.6361185983827493,374,374,1.0,1870,5.0,1870,5.0,0,0,266
confirmation,always_call,6,,371,307,61,3,0,0.8274932614555256,185,127,0.6388140161725068,374,374,1.0,2244,6.0,2244,6.0,0,0,280
confirmation,always_call,7,,371,309,59,3,0,0.8328840970350404,185,128,0.6442048517520216,374,374,1.0,2618,7.0,2618,7.0,0,0,289
confirmation,always_call,8,,371,309,59,3,0,0.8328840970350404,185,128,0.6442048517520216,374,374,1.0,2992,8.0,2992,8.0,0,0,298
confirmation,always_call,9,,371,309,59,3,0,0.8328840970350404,185,128,0.6442048517520216,374,374,1.0,3366,9.0,3366,9.0,0,0,306
confirmation,always_call,10,,371,309,59,3,0,0.8328840970350404,185,128,0.6442048517520216,374,374,1.0,3740,10.0,3740,10.0,0,0,314
confirmation,always_call,11,,371,309,59,3,0,0.8328840970350404,185,128,0.6442048517520216,374,374,1.0,4114,11.0,4114,11.0,0,0,318
confirmation,always_call,12,,371,310,58,3,0,0.8355795148247979,185,128,0.6469002695417789,374,374,1.0,4488,12.0,4488,12.0,0,0,319
confirmation,always_call,13,,371,310,58,3,0,0.8355795148247979,185,128,0.6469002695417789,374,374,1.0,4862,13.0,4862,13.0,0,0,324
confirmation,always_call,14,,371,310,58,3,0,0.8355795148247979,185,128,0.6469002695417789,374,374,1.0,5236,14.0,5236,14.0,0,0,325
confirmation,always_call,15,,371,310,58,3,0,0.8355795148247979,185,128,0.6469002695417789,374,374,1.0,5610,15.0,5610,15.0,0,0,325
confirmation,always_call,16,,371,310,58,3,0,0.8355795148247979,185,128,0.6469002695417789,374,374,1.0,5984,16.0,5984,16.0,0,0,326
confirmation,always_call,17,,371,310,58,3,0,0.8355795148247979,185,128,0.6495956873315364,374,374,1.0,6358,17.0,6358,17.0,0,0,327
confirmation,always_call,18,,371,311,57,3,0,0.8382749326145552,185,129,0.6522911051212938,374,374,1.0,6732,18.0,6732,18.0,0,0,329
confirmation,always_call,19,,371,311,57,3,0,0.8382749326145552,185,129,0.6495956873315364,374,374,1.0,7106,19.0,7106,19.0,0,0,331
confirmation,always_call,20,,371,311,57,3,0,0.8382749326145552,185,129,0.6495956873315364,374,374,1.0,7480,20.0,7480,20.0,0,0,332
