role,variant,K,threshold,n,strict_correct,reverse,model_tie,unavailable,strict_accuracy,eligible_bidirectional_pairs,both_directions_correct,preferred@1,queries,triggered_queries,triggered_fraction,judged_candidates,mean_judged,requested_candidates,mean_requested,missing_judge_candidates,fallback_queries,changed_queries
development,always_call,1,,74,38,36,0,0,0.5135135135135135,37,3,0.33783783783783783,76,76,1.0,76,1.0,76,1.0,0,0,0
development,always_call,2,,74,49,25,0,0,0.6621621621621622,37,14,0.5,76,76,1.0,152,2.0,152,2.0,0,0,26
development,always_call,3,,74,57,17,0,0,0.7702702702702703,37,23,0.5405405405405406,76,76,1.0,228,3.0,228,3.0,0,0,38
development,always_call,4,,74,57,17,0,0,0.7702702702702703,37,23,0.5405405405405406,76,76,1.0,304,4.0,304,4.0,0,0,50
development,always_call,5,,74,58,16,0,0,0.7837837837837838,37,24,0.5675675675675675,76,76,1.0,380,5.0,380,5.0,0,0,55
development,always_call,6,,74,60,14,0,0,0.8108108108108109,37,26,0.5945945945945946,76,76,1.0,456,6.0,456,6.0,0,0,59
development,always_call,7,,74,60,14,0,0,0.8108108108108109,37,26,0.5945945945945946,76,76,1.0,532,7.0,532,7.0,0,0,61
development,always_call,8,,74,60,14,0,0,0.8108108108108109,37,26,0.5945945945945946,76,76,1.0,608,8.0,608,8.0,0,0,64
development,always_call,9,,74,60,14,0,0,0.8108108108108109,37,26,0.5945945945945946,76,76,1.0,684,9.0,684,9.0,0,0,66
development,always_call,10,,74,61,13,0,0,0.8243243243243243,37,27,0.6081081081081081,76,76,1.0,760,10.0,760,10.0,0,0,67
development,always_call,11,,74,61,13,0,0,0.8243243243243243,37,27,0.6081081081081081,76,76,1.0,836,11.0,836,11.0,0,0,67
development,always_call,12,,74,61,13,0,0,0.8243243243243243,37,27,0.6081081081081081,76,76,1.0,912,12.0,912,12.0,0,0,68
development,always_call,13,,74,61,13,0,0,0.8243243243243243,37,27,0.6081081081081081,76,76,1.0,988,13.0,988,13.0,0,0,70
development,always_call,14,,74,61,13,0,0,0.8243243243243243,37,27,0.6081081081081081,76,76,1.0,1064,14.0,1064,14.0,0,0,71
development,always_call,15,,74,61,13,0,0,0.8243243243243243,37,27,0.6081081081081081,76,76,1.0,1140,15.0,1140,15.0,0,0,71
development,always_call,16,,74,61,13,0,0,0.8243243243243243,37,27,0.6081081081081081,76,76,1.0,1216,16.0,1216,16.0,0,0,71
development,always_call,17,,74,61,13,0,0,0.8243243243243243,37,27,0.6081081081081081,76,76,1.0,1292,17.0,1292,17.0,0,0,71
development,always_call,18,,74,62,12,0,0,0.8378378378378378,37,28,0.6216216216216216,76,76,1.0,1368,18.0,1368,18.0,0,0,71
development,always_call,19,,74,62,12,0,0,0.8378378378378378,37,28,0.6216216216216216,76,76,1.0,1444,19.0,1444,19.0,0,0,71
development,always_call,20,,74,62,12,0,0,0.8378378378378378,37,28,0.6216216216216216,76,76,1.0,1520,20.0,1520,20.0,0,0,71
