role,variant,K,threshold,n,strict_correct,reverse,model_tie,unavailable,strict_accuracy,eligible_bidirectional_pairs,both_directions_correct,preferred@1,queries,triggered_queries,triggered_fraction,judged_candidates,mean_judged,requested_candidates,mean_requested,missing_judge_candidates,fallback_queries,changed_queries
confirmation,always_call,1,,371,189,179,3,0,0.5094339622641509,185,16,0.3665768194070081,374,374,1.0,372,0.9946524064171123,374,1.0,2,2,0
confirmation,always_call,2,,371,227,141,3,0,0.6118598382749326,185,52,0.5148247978436657,374,374,1.0,746,1.9946524064171123,748,2.0,2,2,100
confirmation,always_call,3,,371,274,94,3,0,0.738544474393531,185,101,0.5471698113207547,374,374,1.0,1119,2.9919786096256686,1122,3.0,3,3,185
confirmation,always_call,4,,371,275,93,3,0,0.7412398921832885,185,102,0.555256064690027,374,374,1.0,1493,3.9919786096256686,1496,4.0,3,3,201
confirmation,always_call,5,,371,277,91,3,0,0.7466307277628033,185,103,0.5525606469002695,374,374,1.0,1866,4.989304812834225,1870,5.0,4,4,206
confirmation,always_call,6,,371,276,92,3,0,0.7439353099730458,185,103,0.555256064690027,374,374,1.0,2240,5.989304812834225,2244,6.0,4,4,213
confirmation,always_call,7,,371,277,91,3,0,0.7466307277628033,185,104,0.5579514824797843,374,374,1.0,2614,6.989304812834225,2618,7.0,4,4,218
confirmation,always_call,8,,371,277,91,3,0,0.7466307277628033,185,104,0.5579514824797843,374,374,1.0,2988,7.989304812834225,2992,8.0,4,4,222
confirmation,always_call,9,,371,277,91,3,0,0.7466307277628033,185,104,0.5579514824797843,374,374,1.0,3362,8.989304812834225,3366,9.0,4,4,224
confirmation,always_call,10,,371,277,91,3,0,0.7466307277628033,185,104,0.5579514824797843,374,374,1.0,3736,9.989304812834225,3740,10.0,4,4,226
confirmation,always_call,11,,371,277,91,3,0,0.7466307277628033,185,104,0.5579514824797843,374,374,1.0,4110,10.989304812834225,4114,11.0,4,4,227
confirmation,always_call,12,,371,277,91,3,0,0.7466307277628033,185,104,0.5579514824797843,374,374,1.0,4484,11.989304812834225,4488,12.0,4,4,228
confirmation,always_call,13,,371,277,91,3,0,0.7466307277628033,185,104,0.5579514824797843,374,374,1.0,4858,12.989304812834225,4862,13.0,4,4,232
confirmation,always_call,14,,371,277,91,3,0,0.7466307277628033,185,104,0.5579514824797843,374,374,1.0,5232,13.989304812834225,5236,14.0,4,4,232
confirmation,always_call,15,,371,277,91,3,0,0.7466307277628033,185,104,0.5579514824797843,374,374,1.0,5606,14.989304812834225,5610,15.0,4,4,232
confirmation,always_call,16,,371,278,90,3,0,0.7493261455525606,185,104,0.5579514824797843,374,374,1.0,5980,15.989304812834225,5984,16.0,4,4,232
confirmation,always_call,17,,371,279,89,3,0,0.7520215633423181,185,105,0.5579514824797843,374,374,1.0,6354,16.989304812834224,6358,17.0,4,4,233
confirmation,always_call,18,,371,280,88,3,0,0.7547169811320755,185,106,0.5579514824797843,374,374,1.0,6728,17.989304812834224,6732,18.0,4,4,235
confirmation,always_call,19,,371,280,88,3,0,0.7547169811320755,185,106,0.5579514824797843,374,374,1.0,7102,18.989304812834224,7106,19.0,4,4,235
confirmation,always_call,20,,371,280,88,3,0,0.7547169811320755,185,106,0.5579514824797843,374,374,1.0,7476,19.989304812834224,7480,20.0,4,4,235
