role,variant,K,threshold,n,strict_correct,reverse,model_tie,unavailable,strict_accuracy,eligible_bidirectional_pairs,both_directions_correct,preferred@1,queries,triggered_queries,triggered_fraction,judged_candidates,mean_judged,requested_candidates,mean_requested,missing_judge_candidates,fallback_queries,changed_queries
development,always_call,1,,74,38,36,0,0,0.5135135135135135,37,3,0.33783783783783783,76,76,1.0,75,0.9868421052631579,76,1.0,1,1,0
development,always_call,2,,74,44,30,0,0,0.5945945945945946,37,9,0.44594594594594594,76,76,1.0,151,1.986842105263158,152,2.0,1,1,20
development,always_call,3,,74,51,23,0,0,0.6891891891891891,37,17,0.47297297297297297,76,76,1.0,227,2.986842105263158,228,3.0,1,1,39
development,always_call,4,,74,51,23,0,0,0.6891891891891891,37,17,0.47297297297297297,76,76,1.0,303,3.986842105263158,304,4.0,1,1,43
development,always_call,5,,74,52,22,0,0,0.7027027027027027,37,18,0.4864864864864865,76,76,1.0,379,4.9868421052631575,380,5.0,1,1,47
development,always_call,6,,74,53,21,0,0,0.7162162162162162,37,19,0.4864864864864865,76,76,1.0,455,5.9868421052631575,456,6.0,1,1,49
development,always_call,7,,74,53,21,0,0,0.7162162162162162,37,19,0.4864864864864865,76,76,1.0,531,6.9868421052631575,532,7.0,1,1,49
development,always_call,8,,74,53,21,0,0,0.7162162162162162,37,19,0.4864864864864865,76,76,1.0,607,7.9868421052631575,608,8.0,1,1,50
development,always_call,9,,74,53,21,0,0,0.7162162162162162,37,19,0.4864864864864865,76,76,1.0,683,8.986842105263158,684,9.0,1,1,50
development,always_call,10,,74,53,21,0,0,0.7162162162162162,37,19,0.5,76,76,1.0,759,9.986842105263158,760,10.0,1,1,51
development,always_call,11,,74,53,21,0,0,0.7162162162162162,37,19,0.5,76,76,1.0,835,10.986842105263158,836,11.0,1,1,51
development,always_call,12,,74,53,21,0,0,0.7162162162162162,37,19,0.5,76,76,1.0,910,11.973684210526315,912,12.0,2,2,50
development,always_call,13,,74,53,21,0,0,0.7162162162162162,37,19,0.5,76,76,1.0,986,12.973684210526315,988,13.0,2,2,51
development,always_call,14,,74,53,21,0,0,0.7162162162162162,37,19,0.5,76,76,1.0,1062,13.973684210526315,1064,14.0,2,2,51
development,always_call,15,,74,53,21,0,0,0.7162162162162162,37,19,0.5,76,76,1.0,1138,14.973684210526315,1140,15.0,2,2,51
development,always_call,16,,74,53,21,0,0,0.7162162162162162,37,19,0.5,76,76,1.0,1214,15.973684210526315,1216,16.0,2,2,51
development,always_call,17,,74,53,21,0,0,0.7162162162162162,37,19,0.5,76,76,1.0,1290,16.973684210526315,1292,17.0,2,2,51
development,always_call,18,,74,54,20,0,0,0.7297297297297297,37,20,0.5135135135135135,76,76,1.0,1366,17.973684210526315,1368,18.0,2,2,52
development,always_call,19,,74,54,20,0,0,0.7297297297297297,37,20,0.5135135135135135,76,76,1.0,1442,18.973684210526315,1444,19.0,2,2,52
development,always_call,20,,74,54,20,0,0,0.7297297297297297,37,20,0.5135135135135135,76,76,1.0,1518,19.973684210526315,1520,20.0,2,2,52
